"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"132",195,676,"Tree Cover = 95%",150.338781178494,60.84,0.0176204701902568,0.015686,0.231373,0.007843,"4","59","2"
"133",240,666,"Shrub Cover = 40%",148.114834711356,59.94,0.0173598123472056,0.780392,0.482353,0.345098,"199","123","88"
"134",375,605,"Herb Cover = 75%",134.548761261818,54.45,0.0157697995045937,1,0.392157,0.109804,"255","100","28"
"135",369,590,"Herb Cover = 69%",131.212841561112,53.1,0.015378812740017,1,0.439216,0.141176,"255","112","36"
"136",241,581,"Shrub Cover = 41%",129.211289740688,52.29,0.015144220681271,0.768627,0.47451,0.337255,"196","121","86"
"137",111,550,"Tree Cover = 11%",122.317055692562,49.5,0.0143361813678125,0.792157,0.988235,0.592157,"202","252","151"
"138",230,547,"Shrub Cover = 30%",121.64987175242,49.23,0.0142579840148971,0.8,0.556863,0.392157,"204","142","100"
"139",334,531,"Herb Cover = 34%",118.091557405,47.79,0.0138409314660153,1,0.67451,0.301961,"255","172","77"
"140",242,459,"Shrub Cover = 42%",102.079142841611,41.31,0.0119641949960471,0.768627,0.462745,0.329412,"196","118","84"
"141",370,432,"Herb Cover = 70%",96.0744873803393,38.88,0.0112604188198091,1,0.439216,0.141176,"255","112","36"
"142",229,426,"Shrub Cover = 29%",94.7401195000568,38.34,0.0111040241139784,0.8,0.556863,0.392157,"204","142","100"
"143",243,383,"Shrub Cover = 43%",85.1771496913656,34.47,0.00998319538885849,0.768627,0.462745,0.329412,"196","118","84"
"144",342,379,"Herb Cover = 42%",84.2875711045107,34.11,0.00987893225163804,1,0.631373,0.258824,"255","161","66"
"145",310,344,"Herb Cover = 10%",76.5037584695295,30.96,0.00896662980095906,1,0.8,0.4,"255","204","102"
"146",228,321,"Shrub Cover = 28%",71.3886815951132,28.89,0.00836711676194145,0.8,0.568627,0.4,"204","145","102"
"147",371,306,"Herb Cover = 71%",68.052761894407,27.54,0.00797612999736475,1,0.419608,0.129412,"255","107","33"
"148",244,295,"Shrub Cover = 44%",65.6064207805558,26.55,0.0076894063700085,0.768627,0.45098,0.321569,"196","115","82"
"149",227,287,"Shrub Cover = 27%",63.8272636068458,25.83,0.00748088009556759,0.8,0.572549,0.4,"204","146","102"
"150",372,236,"Herb Cover = 72%",52.4851366244446,21.24,0.0061515250960068,1,0.419608,0.129412,"255","107","33"
"151",245,217,"Shrub Cover = 45%",48.2596383368834,19.53,0.00565627519420964,0.768627,0.45098,0.321569,"196","115","82"
"152",333,216,"Herb Cover = 33%",48.0372436901697,19.44,0.00563020940990453,1,0.678431,0.309804,"255","173","79"
"153",246,206,"Shrub Cover = 46%",45.8132972230322,18.54,0.00536955156685339,0.760784,0.431373,0.309804,"194","110","79"
"154",226,200,"Shrub Cover = 26%",44.4789293427497,18,0.00521315686102271,0.8,0.576471,0.407843,"204","147","104"
"155",340,197,"Herb Cover = 40%",43.8117454026084,17.73,0.00513495950810737,1,0.635294,0.270588,"255","162","69"
"156",255,191,"Shrub Cover = 55%",42.477377522326,17.19,0.00497856480227669,0.741176,0.376471,0.27451,"189","96","70"
"157",322,182,"Herb Cover = 22%",40.4758257019022,16.38,0.00474397274353067,1,0.745098,0.360784,"255","190","92"
"158",225,174,"Shrub Cover = 25%",38.6966685281922,15.66,0.00453544646908976,0.811765,0.592157,0.411765,"207","151","105"
"159",341,164,"Herb Cover = 41%",36.4727220610547,14.76,0.00427478862603862,1,0.635294,0.270588,"255","162","69"
"160",224,163,"Shrub Cover = 24%",36.250327414341,14.67,0.00424872284173351,0.811765,0.596078,0.419608,"207","152","107"
"161",212,159,"Shrub Cover = 12%",35.360748827486,14.31,0.00414445970451306,0.831373,0.686275,0.482353,"212","175","123"
"162",373,156,"Herb Cover = 73%",34.6935648873448,14.04,0.00406626235159772,1,0.411765,0.121569,"255","105","31"
"163",247,155,"Shrub Cover = 47%",34.471170240631,13.95,0.0040401965672926,0.760784,0.431373,0.309804,"194","110","79"
"164",248,148,"Shrub Cover = 48%",32.9144077136348,13.32,0.00385773607715681,0.760784,0.431373,0.309804,"194","110","79"
"165",374,148,"Herb Cover = 74%",32.9144077136348,13.32,0.00385773607715681,1,0.4,0.121569,"255","102","31"
"166",223,146,"Shrub Cover = 23%",32.4696184202073,13.14,0.00380560450854658,0.811765,0.603922,0.419608,"207","154","107"
"167",214,142,"Shrub Cover = 14%",31.5800398333523,12.78,0.00370134137132613,0.819608,0.666667,0.466667,"209","170","119"
"168",213,131,"Shrub Cover = 13%",29.133698719501,11.79,0.00341461774396988,0.831373,0.682353,0.47451,"212","174","121"
"169",250,130,"Shrub Cover = 50%",28.9113040727873,11.7,0.00338855195966476,0.74902,0.411765,0.301961,"191","105","77"
"170",249,128,"Shrub Cover = 49%",28.4665147793598,11.52,0.00333642039105454,0.760784,0.419608,0.305882,"194","107","78"
"171",222,119,"Shrub Cover = 22%",26.4649629589361,10.71,0.00310182833230851,0.811765,0.607843,0.427451,"207","155","109"
"172",338,118,"Herb Cover = 38%",26.2425683122223,10.62,0.0030757625480034,1,0.65098,0.278431,"255","166","71"
"173",252,110,"Shrub Cover = 52%",24.4634111385123,9.9,0.00286723627356249,0.74902,0.4,0.294118,"191","102","75"
"174",221,109,"Shrub Cover = 21%",24.2410164917986,9.81,0.00284117048925738,0.811765,0.611765,0.427451,"207","156","109"
"175",251,104,"Shrub Cover = 51%",23.1290432582298,9.36,0.00271084156773181,0.74902,0.4,0.294118,"191","102","75"
"176",328,91,"Herb Cover = 28%",20.2379128509511,8.19,0.00237198637176533,1,0.709804,0.329412,"255","181","84"
"177",339,91,"Herb Cover = 39%",20.2379128509511,8.19,0.00237198637176533,1,0.65098,0.278431,"255","166","71"
"178",211,88,"Shrub Cover = 11%",19.5707289108099,7.92,0.00229378901884999,0.831373,0.690196,0.482353,"212","176","123"
"179",254,87,"Shrub Cover = 54%",19.3483342640961,7.83,0.00226772323454488,0.741176,0.380392,0.282353,"189","97","72"
"180",220,86,"Shrub Cover = 20%",19.1259396173824,7.74,0.00224165745023977,0.811765,0.623529,0.439216,"207","159","112"
"181",253,81,"Shrub Cover = 53%",18.0139663838136,7.29,0.0021113285287142,0.74902,0.392157,0.286275,"191","100","73"
"182",323,75,"Herb Cover = 23%",16.6795985035311,6.75,0.00195493382288352,1,0.741176,0.34902,"255","189","89"
"183",210,73,"Shrub Cover = 10%",16.2348092101036,6.57,0.00190280225427329,0.831373,0.698039,0.490196,"212","178","125"
"184",335,73,"Herb Cover = 35%",16.2348092101036,6.57,0.00190280225427329,1,0.67451,0.301961,"255","172","77"
"185",326,70,"Herb Cover = 26%",15.5676252699624,6.3,0.00182460490135795,1,0.72549,0.341176,"255","185","87"
"186",332,67,"Herb Cover = 32%",14.9004413298211,6.03,0.00174640754844261,1,0.690196,0.309804,"255","176","79"
"187",219,62,"Shrub Cover = 19%",13.7884680962524,5.58,0.00161607862691704,0.819608,0.631373,0.443137,"209","161","113"
"188",215,58,"Shrub Cover = 15%",12.8988895093974,5.22,0.00151181548969659,0.819608,0.658824,0.458824,"209","168","117"
"189",218,58,"Shrub Cover = 18%",12.8988895093974,5.22,0.00151181548969659,0.819608,0.643137,0.45098,"209","164","115"
"190",337,57,"Herb Cover = 37%",12.6764948626837,5.13,0.00148574970539147,1,0.654902,0.290196,"255","167","74"
"191",330,50,"Herb Cover = 30%",11.1197323356874,4.5,0.00130328921525568,1,0.694118,0.321569,"255","177","82"
"192",327,45,"Herb Cover = 27%",10.0077591021187,4.05,0.00117296029373011,1,0.709804,0.329412,"255","181","84"
"193",257,43,"Shrub Cover = 57%",9.56296980869118,3.87,0.00112082872511988,0.741176,0.368627,0.27451,"189","94","70"
"194",336,42,"Herb Cover = 36%",9.34057516197743,3.78,0.00109476294081477,1,0.670588,0.290196,"255","171","74"
"195",217,39,"Shrub Cover = 17%",8.67339122183619,3.51,0.00101656558789943,0.819608,0.647059,0.45098,"209","165","115"
"196",315,39,"Herb Cover = 15%",8.67339122183619,3.51,0.00101656558789943,1,0.776471,0.388235,"255","198","99"
"197",329,39,"Herb Cover = 29%",8.67339122183619,3.51,0.00101656558789943,1,0.705882,0.321569,"255","180","82"
"198",216,38,"Shrub Cover = 16%",8.45099657512244,3.42,0.000990499803594315,0.819608,0.65098,0.458824,"209","166","117"
"199",258,32,"Shrub Cover = 58%",7.11662869483995,2.88,0.000834105097763634,0.741176,0.360784,0.266667,"189","92","68"
"200",324,31,"Herb Cover = 24%",6.8942340481262,2.79,0.00080803931345852,1,0.729412,0.34902,"255","186","89"
"201",331,26,"Herb Cover = 31%",5.78226081455746,2.34,0.000677710391932953,1,0.690196,0.309804,"255","176","79"
"202",256,23,"Shrub Cover = 56%",5.11507687441621,2.07,0.000599513039017612,0.741176,0.368627,0.27451,"189","94","70"
"203",316,21,"Herb Cover = 16%",4.67028758098872,1.89,0.000547381470407385,1,0.772549,0.380392,"255","197","97"
"204",314,19,"Herb Cover = 14%",4.22549828756122,1.71,0.000495249901797158,1,0.788235,0.388235,"255","201","99"
"205",325,19,"Herb Cover = 25%",4.22549828756122,1.71,0.000495249901797158,1,0.72549,0.341176,"255","185","87"
"206",376,19,"Herb Cover = 76%",4.22549828756122,1.71,0.000495249901797158,1,0.392157,0.109804,"255","100","28"
"207",31,13,"Barren",2.89113040727873,1.17,0.000338855195966476,0.74902,0.74902,0.74902,"191","191","191"
"208",317,10,"Herb Cover = 17%",2.22394646713748,0.9,0.000260657843051136,1,0.772549,0.380392,"255","197","97"
"209",313,7,"Herb Cover = 13%",1.55676252699624,0.63,0.000182460490135795,1,0.788235,0.4,"255","201","102"
"210",318,5,"Herb Cover = 18%",1.11197323356874,0.45,0.000130328921525568,1,0.756863,0.368627,"255","193","94"
"211",320,5,"Herb Cover = 20%",1.11197323356874,0.45,0.000130328921525568,1,0.752941,0.360784,"255","192","92"
"212",68,4,"NASS-Wheat",0.889578586854994,0.36,0.000104263137220454,0.980392,0.890196,0.639216,"250","227","163"
"213",321,4,"Herb Cover = 21%",0.889578586854994,0.36,0.000104263137220454,1,0.745098,0.360784,"255","190","92"
"214",378,4,"Herb Cover = 78%",0.889578586854994,0.36,0.000104263137220454,1,0.368627,0.098039,"255","94","25"
"215",312,3,"Herb Cover = 12%",0.667183940141245,0.27,7.81973529153407e-05,1,0.788235,0.4,"255","201","102"
"216",319,3,"Herb Cover = 19%",0.667183940141245,0.27,7.81973529153407e-05,1,0.756863,0.368627,"255","193","94"
"217",262,2,"Shrub Cover = 62%",0.444789293427497,0.18,5.21315686102271e-05,0.729412,0.329412,0.247059,"186","84","63"
"218",261,1,"Shrub Cover = 61%",0.222394646713748,0.09,2.60657843051136e-05,0.729412,0.333333,0.254902,"186","85","65"
"219",267,1,"Shrub Cover = 67%",0.222394646713748,0.09,2.60657843051136e-05,0.709804,0.290196,0.227451,"181","74","58"
