"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"43",124,367,"Tree Height = 24 meters",81.6188353439457,33.03,0.00956614283997668,0.341176,0.65098,0.219608,"87","166","56"
"44",303,265,"Herb Height = 0.3 meter",58.9345813791433,23.85,0.00690743284085509,1,0.662745,0.301961,"255","169","77"
"45",102,234,"Tree Height = 2 meters",52.0403473310171,21.06,0.00609939352739657,0.780392,0.980392,0.576471,"199","250","147"
"46",222,185,"Shrub Height = 2.2 meters",41.1430096420435,16.65,0.00482217009644601,0.690196,0.239216,0.2,"176","61","51"
"47",306,166,"Herb Height = 0.6 meter",36.9175113544822,14.94,0.00432692019464885,1,0.439216,0.160784,"255","112","41"
"48",228,164,"Shrub Height = 2.8 meters",36.4727220610547,14.76,0.00427478862603862,0.639216,0.101961,0.14902,"163","26","38"
"49",224,154,"Shrub Height = 2.4 meters",34.2487755939173,13.86,0.00401413078298749,0.678431,0.2,0.184314,"173","51","47"
"50",223,130,"Shrub Height = 2.3 meters",28.9113040727873,11.7,0.00338855195966476,0.678431,0.223529,0.192157,"173","57","49"
"51",226,121,"Shrub Height = 2.6 meters",26.9097522523636,10.89,0.00315395990091874,0.658824,0.152941,0.160784,"168","39","41"
"52",225,120,"Shrub Height = 2.5 meters",26.6873576056498,10.8,0.00312789411661363,0.670588,0.184314,0.172549,"171","47","44"
"53",229,116,"Shrub Height = 2.9 meters",25.7977790187948,10.44,0.00302363097939317,0.631373,0.070588,0.133333,"161","18","34"
"54",227,109,"Shrub Height = 2.7 meters",24.2410164917986,9.81,0.00284117048925738,0.65098,0.129412,0.156863,"166","33","40"
"55",220,101,"Shrub Height = 2.0 meters",22.4618593180886,9.09,0.00263264421481647,0.709804,0.282353,0.227451,"181","72","58"
"56",221,101,"Shrub Height = 2.1 meters",22.4618593180886,9.09,0.00263264421481647,0.701961,0.266667,0.215686,"179","68","55"
"57",125,55,"Tree Height = 25 meters",12.2317055692562,4.95,0.00143361813678125,0.329412,0.631373,0.207843,"84","161","53"
"58",101,53,"Tree Height = 1 meter",11.7869162758287,4.77,0.00138148656817102,0.8,1,0.6,"204","255","153"
"59",219,52,"Shrub Height = 1.9 meters",11.5645216291149,4.68,0.00135542078386591,0.721569,0.309804,0.239216,"184","79","61"
"60",218,36,"Shrub Height = 1.8 meters",8.00620728169494,3.24,0.000938368234984088,0.721569,0.32549,0.243137,"184","83","62"
"61",217,26,"Shrub Height = 1.7 meters",5.78226081455746,2.34,0.000677710391932953,0.729412,0.34902,0.262745,"186","89","67"
"62",208,18,"Shrub Height = 0.8 meter",4.00310364084747,1.62,0.000469184117492044,0.788235,0.537255,0.380392,"201","137","97"
"63",216,16,"Shrub Height = 1.6 meters",3.55831434741997,1.44,0.000417052548881817,0.741176,0.368627,0.27451,"189","94","70"
"64",31,13,"Barren",2.89113040727873,1.17,0.000338855195966476,0.74902,0.74902,0.74902,"191","191","191"
"65",213,10,"Shrub Height = 1.3 meters",2.22394646713748,0.9,0.000260657843051136,0.760784,0.431373,0.309804,"194","110","79"
"66",214,10,"Shrub Height = 1.4 meters",2.22394646713748,0.9,0.000260657843051136,0.74902,0.411765,0.301961,"191","105","77"
"67",126,7,"Tree Height = 26 meters",1.55676252699624,0.63,0.000182460490135795,0.309804,0.619608,0.2,"79","158","51"
"68",68,4,"NASS-Wheat",0.889578586854994,0.36,0.000104263137220454,0.980392,0.890196,0.639216,"250","227","163"
"69",210,4,"Shrub Height = 1 meter",0.889578586854994,0.36,0.000104263137220454,0.780392,0.494118,0.352941,"199","126","90"
"70",212,4,"Shrub Height = 1.2 meters",0.889578586854994,0.36,0.000104263137220454,0.768627,0.45098,0.321569,"196","115","82"
"71",211,3,"Shrub Height = 1.1 meters",0.667183940141245,0.27,7.81973529153407e-05,0.768627,0.47451,0.337255,"196","121","86"
"72",203,2,"Shrub Height = 0.3 meter",0.444789293427497,0.18,5.21315686102271e-05,0.819608,0.65098,0.458824,"209","166","117"
"73",209,2,"Shrub Height = 0.9 meter",0.444789293427497,0.18,5.21315686102271e-05,0.788235,0.52549,0.372549,"201","134","95"
"74",205,1,"Shrub Height = 0.5 meter",0.222394646713748,0.09,2.60657843051136e-05,0.811765,0.607843,0.427451,"207","155","109"
"75",206,1,"Shrub Height = 0.6 meter",0.222394646713748,0.09,2.60657843051136e-05,0.811765,0.584314,0.411765,"207","149","105"
"76",207,1,"Shrub Height = 0.7 meter",0.222394646713748,0.09,2.60657843051136e-05,0.8,0.568627,0.4,"204","145","102"
